Software,Directly involved in developing Project  Exchange,REFI-QDA Project Implemented
ATLAS.ti (Mac),Yes,Yes
ATLAS.ti (Windows),Yes,Yes
Dedoose,No,Yes
f4analyse,Yes,Yes
Leipzig Corpus Miner (LCM),No,Yes
MAXQDA,No,Yes
NVivo (Mac),Yes,Yes
NVivo (Windows),Yes,Yes
QDA Miner (Windows),Yes,Yes
QualCoder,No,Yes
Quirkos,Yes,Yes
Transana (Mac),Yes,Yes
Transana (Windows),Yes,Yes
