Name,URL
barichello/openQDA,https://github.com/barichello/openQDA
openqda/openqda,https://github.com/openqda/openqda
gict-lab/qdas,https://github.com/gict-lab/qdas
PudofkinMini/QDAA-Tutorials,https://github.com/PudofkinMini/QDAA-Tutorials
Cynthi13/Twitter-post-analysis-with-4cat-and-MaxQDA,https://github.com/Cynthi13/Twitter-post-analysis-with-4cat-and-MaxQDA
